Customer_ID,First_Name,Last_Name,DOB,Age,Gender,Phone_Number,Street_Address,City,State,Zip,Latitude,Longitude
CUST-001,Lourdes,Cohen,1984-03-01,39,F,852-797-9634,9042 19th Street,Westminster,CO,80900,39.837,-105.037
CUST-002,Randy,Utrecht,1986-01-01,37,F,241-050-3941,3083 Main St,Pueblo,CO,80173,38.254,-104.609
CUST-003,Jere,Davis,2000-02-08,23,F,751-223-2487,6435 20th Street,Boulder,CO,80173,40.015,-105.271
CUST-004,Takako,Dafel,1992-12-06,31,F,679-337-8542,1787 Jason Rd,Lakewood,CO,80300,39.705,-105.081
CUST-005,Sidney,Campos,1969-06-30,54,F,774-963-4269,2935 12th Street,Arvada,CO,80729,39.803,-105.087
CUST-006,Sana,Fleming,1978-11-08,45,F,343-054-8550,382 92nd Ave,Thornton,CO,80300,39.868,-104.972
CUST-007,Jule,Wiley,1969-07-14,54,F,776-080-4916,7593 92nd Ave,Pueblo,CO,80920,38.254,-104.609
CUST-008,Troy,Ford,1969-03-16,54,M,264-079-0647,6689 Platte Street,Denver,CO,80920,39.739,-104.985
CUST-009,Devorah,Heemskerck,1969-07-09,54,M,433-553-5612,9520 Hollywood Blvd,Boulder,CO,80000,40.015,-105.271
CUST-010,Esteban,Walter,1973-02-07,50,M,685-175-5989,867 Speer Blvd,Fort Collins,CO,80729,40.585,-105.084
CUST-011,Lincoln,Franse,1981-08-08,42,M,388-481-3786,5532 Main St,Arvada,CO,80173,39.803,-105.087
CUST-012,Darrick,Callander,2004-10-04,19,F,482-316-6993,920 Jason Rd,Thornton,CO,80900,39.868,-104.972
CUST-013,Taneka,Alvarado,1953-07-17,70,F,968-418-1114,729 19th Street,Greeley,CO,80173,40.423,-104.709
CUST-014,Dick,Grandia,1976-03-03,47,M,744-082-7925,2463 Cedar Rd,Thornton,CO,80900,39.868,-104.972
CUST-015,Arvilla,Kool,1953-11-20,70,M,632-336-0273,464 54th Ave,Colorado Springs,CO,80300,38.834,-104.821
CUST-016,Argelia,Ingram,1972-04-03,51,F,576-936-2258,3069 20th Street,Centennial,CO,80920,39.579,-104.877
CUST-017,Jess,Decker,1945-08-31,78,F,838-143-6058,4190 54th Ave,Colorado Springs,CO,80173,38.834,-104.821
CUST-018,Petrina,Wilcox,1959-05-17,64,F,205-195-9990,5113 92nd Ave,Westminster,CO,80920,39.837,-105.037
CUST-019,Anya,Oneal,1996-08-22,27,F,224-462-4469,492 12th Street,Colorado Springs,CO,80900,38.834,-104.821
CUST-020,Mable,Dons,1943-06-15,80,M,309-720-0788,9260 92nd Ave,Greeley,CO,80173,40.423,-104.709
CUST-021,Dominic,Mooney,1957-06-12,66,F,252-106-1842,8095 Cedar Rd,Lakewood,CO,80729,39.705,-105.081
CUST-022,Arnold,Keith,1979-01-04,44,M,454-042-8192,3124 92nd Ave,Pueblo,CO,80000,38.254,-104.609
CUST-023,Arnoldo,Stark,1996-04-07,27,M,945-225-9545,9839 Lincoln Rd,Arvada,CO,80300,39.803,-105.087
CUST-024,Nathanael,Valenzuela,1970-08-14,53,M,627-062-1350,5868 Lincoln Rd,Boulder,CO,80729,40.015,-105.271
CUST-025,Danilo,Barrera,1980-01-31,43,M,735-284-2774,7760 20th Street,Boulder,CO,80134,40.015,-105.271
CUST-026,Alberto,van Steenis,2005-07-31,18,M,553-684-7421,8529 14th Ave,Westminster,CO,80900,39.837,-105.037
CUST-027,Seth,Dudley,1943-05-15,80,M,537-440-2649,2798 54th Ave,Fort Collins,CO,80134,40.585,-105.084
CUST-028,Mittie,Otten,2000-03-06,23,F,419-232-2407,817 Lincoln Rd,Greeley,CO,80729,40.423,-104.709
CUST-029,Trena,Sargent,2004-10-25,19,M,320-391-5799,8679 Platte Street,Fort Collins,CO,80920,40.585,-105.084
CUST-030,Rico,Dickie,1943-06-19,80,F,366-013-2359,2115 19th Street,Denver,CO,80173,39.739,-104.985
CUST-031,Brendan,Le,1980-08-28,43,M,985-726-6573,2608 Cedar Rd,Thornton,CO,80729,39.868,-104.972
CUST-032,Charmain,Davidson,1969-02-01,54,F,243-859-2462,651 Lincoln Rd,Boulder,CO,80000,40.015,-105.271
CUST-033,Barrett,Spencer,1948-07-31,75,M,622-654-3049,8395 14th Ave,Pueblo,CO,80900,38.254,-104.609
CUST-034,Noe,Hack,1966-01-31,57,M,743-211-1895,8566 Oak Ave,Arvada,CO,80134,39.803,-105.087
CUST-035,Dalton,Macdonald,1973-07-14,50,M,841-653-8725,2761 Cedar Rd,Boulder,CO,80300,40.015,-105.271
CUST-036,Reynaldo,Collins,1947-04-20,76,M,829-461-2061,6224 Cedar Rd,Denver,CO,80900,39.739,-104.985
CUST-037,Elmer,Rudlin,2001-12-28,22,M,888-646-1709,7877 92nd Ave,Westminster,CO,80173,39.837,-105.037
CUST-038,Keneth,Groeneveld,1991-05-27,32,F,504-702-0440,1448 54th Ave,Pueblo,CO,80900,38.254,-104.609
CUST-039,Jeromy,Melton,1979-10-26,44,M,682-626-4381,789 12th Street,Fort Collins,CO,80173,40.585,-105.084
CUST-040,Gladys,Rivera,1998-05-21,25,F,769-488-1506,7763 12th Street,Denver,CO,80173,39.739,-104.985
CUST-041,Jeromy,Dotson,2004-04-20,19,M,658-815-8655,1278 Jason Rd,Aurora,CO,80134,39.729,-104.832
