Customer_ID,First_Name,Last_Name,DOB,Age,Gender,Phone_Number,Street_Address,City,State,Zip,Latitude,Longitude
CUST-399,Lourdes,Cohen,1984-03-01,39,F,852-797-9634,9042 19th Street,Westminster,CO,80900,39.837,-105.037
CUST-438,Randy,Utrecht,1986-01-01,37,F,241-050-3941,3083 Main St,Pueblo,CO,80173,38.254,-104.609
CUST-443,Jere,Davis,2000-02-08,23,F,751-223-2487,6435 20th Street,Boulder,CO,80173,40.015,-105.271
CUST-356,Takako,Dafel,1992-12-06,31,F,679-337-8542,1787 Jason Rd,Lakewood,CO,80300,39.705,-105.081
CUST-379,Sidney,Campos,1969-06-30,54,F,774-963-4269,2935 12th Street,Arvada,CO,80729,39.803,-105.087
CUST-463,Sana,Fleming,1978-11-08,45,F,343-054-8550,382 92nd Ave,Thornton,CO,80300,39.868,-104.972
CUST-111,Jule,Wiley,1969-07-14,54,F,776-080-4916,7593 92nd Ave,Pueblo,CO,80920,38.254,-104.609
CUST-241,Troy,Ford,1969-03-16,54,M,264-079-0647,6689 Platte Street,Denver,CO,80920,39.739,-104.985
CUST-079,Devorah,Heemskerck,1969-07-09,54,M,433-553-5612,9520 Hollywood Blvd,Boulder,CO,80000,40.015,-105.271
CUST-360,Esteban,Walter,1973-02-07,50,M,685-175-5989,867 Speer Blvd,Fort Collins,CO,80729,40.585,-105.084
CUST-068,Lincoln,Franse,1981-08-08,42,M,388-481-3786,5532 Main St,Arvada,CO,80173,39.803,-105.087
CUST-302,Darrick,Callander,2004-10-04,19,F,482-316-6993,920 Jason Rd,Thornton,CO,80900,39.868,-104.972
CUST-429,Taneka,Alvarado,1953-07-17,70,F,968-418-1114,729 19th Street,Greeley,CO,80173,40.423,-104.709
CUST-001,Dick,Grandia,1976-03-03,47,M,744-082-7925,2463 Cedar Rd,Thornton,CO,80900,39.868,-104.972
CUST-341,Arvilla,Kool,1953-11-20,70,M,632-336-0273,464 54th Ave,Colorado Springs,CO,80300,38.834,-104.821
